ARO Accession	ARO Name	CARD Short Name	Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism	Matched_CARD_Tokens	Matched_Better_Classes	UniProt	UniParc	PDB	PDB_Links
ARO:3003745	mef(C)	mef(C)	BAL43360.1	AB571865.1	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic;tetracycline antibiotic	antibiotic efflux	tetracycline antibiotic	Tetracyclines	H1A9S5			
ARO:3000616	mel	mel	AAL73129.1	AF227521.1	msr-type ABC-F protein	macrolide antibiotic;streptogramin antibiotic	antibiotic target protection	streptogramin antibiotic	Streptogramins	P95827			
ARO:3000026	mepA	mepA	AAU95768.1	AY661734.1	multidrug and toxic compound extrusion (MATE) transporter	glycylcycline;tetracycline antibiotic	antibiotic efflux	glycylcycline;tetracycline antibiotic	Glycylcyclines;Tetracyclines	Q2G140			
ARO:3000746	mepR	mepR	BAB56495.1	BA000017.4	multidrug and toxic compound extrusion (MATE) transporter	glycylcycline;tetracycline antibiotic	antibiotic efflux	glycylcycline;tetracycline antibiotic	Glycylcyclines;Tetracyclines	A0A0H3JPT9		3ECO	https://www.rcsb.org/structure/3ECO
ARO:3000377	MexA	MexA	AAG03814.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic	antibiotic efflux	carbapenem;cephalosporin;diaminopyrimidine antibiotic;monobactam;tetracycline antibiotic	Carbapenems;Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Tetracyclines;Third-generation-cephalosporins;Trimethoprim-derivatives	P52477		1T5E;1VF7;2V4D;4DK1;6IOK;6IOL;6TA5;6TA6	https://www.rcsb.org/structure/1T5E;https://www.rcsb.org/structure/1VF7;https://www.rcsb.org/structure/2V4D;https://www.rcsb.org/structure/4DK1;https://www.rcsb.org/structure/6IOK;https://www.rcsb.org/structure/6IOL;https://www.rcsb.org/structure/6TA5;https://www.rcsb.org/structure/6TA6
ARO:3000378	MexB	MexB	AAA74437.1	L11616.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic	antibiotic efflux	carbapenem;cephalosporin;diaminopyrimidine antibiotic;monobactam;tetracycline antibiotic	Carbapenems;Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Tetracyclines;Third-generation-cephalosporins;Trimethoprim-derivatives	P52002		2V50;3W9I;3W9J;6IIA;6IOK;6IOL;6T7S;6TA5;6TA6	https://www.rcsb.org/structure/2V50;https://www.rcsb.org/structure/3W9I;https://www.rcsb.org/structure/3W9J;https://www.rcsb.org/structure/6IIA;https://www.rcsb.org/structure/6IOK;https://www.rcsb.org/structure/6IOL;https://www.rcsb.org/structure/6T7S;https://www.rcsb.org/structure/6TA5;https://www.rcsb.org/structure/6TA6
ARO:3000800	MexC	MexC	AAB41956.1	U57969.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;aminoglycoside antibiotic;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;penicillin beta-lactam;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux	aminoglycoside antibiotic;cephalosporin;diaminopyrimidine antibiotic;tetracycline antibiotic	Aminoglycosides;Fifth-generation-cephalosporins;Other-cephalosporins;Tetracyclines;Third-generation-cephalosporins;Trimethoprim-derivatives	Q51395			
ARO:3000801	MexD	MexD	AAB41957.1	U57969.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;aminoglycoside antibiotic;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;penicillin beta-lactam;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux	aminoglycoside antibiotic;cephalosporin;diaminopyrimidine antibiotic;tetracycline antibiotic	Aminoglycosides;Fifth-generation-cephalosporins;Other-cephalosporins;Tetracyclines;Third-generation-cephalosporins;Trimethoprim-derivatives	Q51396			
ARO:3000803	MexE	MexE	AAG05881.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic	antibiotic efflux	diaminopyrimidine antibiotic	Trimethoprim-derivatives	Q9I0Y9			
ARO:3000804	MexF	MexF	AAG05882.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic	antibiotic efflux	diaminopyrimidine antibiotic	Trimethoprim-derivatives	Q9I0Y8			
ARO:3000806	MexG	MexG	AAG07592.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics;fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux	tetracycline antibiotic	Tetracyclines	Q9HWH6			
ARO:3000807	MexH	MexH	AAG07593.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics;fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux	tetracycline antibiotic	Tetracyclines	Q9HWH5			
ARO:3000808	MexI	MexI	AAG07594.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics;fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux	tetracycline antibiotic	Tetracyclines	Q9HWH4			
ARO:3003692	MexJ	MexJ	AAG07065.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics;macrolide antibiotic;tetracycline antibiotic	antibiotic efflux	tetracycline antibiotic	Tetracyclines	Q9HXW3			
ARO:3003693	MexK	MexK	AAG07064.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics;macrolide antibiotic;tetracycline antibiotic	antibiotic efflux	tetracycline antibiotic	Tetracyclines	Q9HXW4			
ARO:3003710	MexL	MexL	AAG07066.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics;macrolide antibiotic;tetracycline antibiotic	antibiotic efflux	tetracycline antibiotic	Tetracyclines	Q9HXW2		8WRF	https://www.rcsb.org/structure/8WRF
ARO:3003698	mexP	mexP	BAE06007.1	AB219524.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	carbapenem;diaminopyrimidine antibiotic;disinfecting agents and antiseptics;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux	carbapenem;diaminopyrimidine antibiotic;tetracycline antibiotic	Carbapenems;Tetracyclines;Trimethoprim-derivatives	Q4LDT7			
ARO:3003699	mexQ	mexQ	BAE06008.1	AB219524.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	carbapenem;diaminopyrimidine antibiotic;disinfecting agents and antiseptics;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux	carbapenem;diaminopyrimidine antibiotic;tetracycline antibiotic	Carbapenems;Tetracyclines;Trimethoprim-derivatives	Q4LDT6			
ARO:3000506	MexR	MexR	AAG03813.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic	antibiotic efflux;antibiotic target alteration	carbapenem;cephalosporin;diaminopyrimidine antibiotic;monobactam;tetracycline antibiotic	Carbapenems;Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Tetracyclines;Third-generation-cephalosporins;Trimethoprim-derivatives	P52003		1LNW;3ECH;3MEX;4ZZL	https://www.rcsb.org/structure/1LNW;https://www.rcsb.org/structure/3ECH;https://www.rcsb.org/structure/3MEX;https://www.rcsb.org/structure/4ZZL
ARO:3000506	MexR	MexR	AAG03813.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic	antibiotic efflux;antibiotic target alteration	carbapenem;cephalosporin;diaminopyrimidine antibiotic;monobactam;tetracycline antibiotic	Carbapenems;Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Tetracyclines;Third-generation-cephalosporins;Trimethoprim-derivatives	P52003		1LNW;3ECH;3MEX;4ZZL	https://www.rcsb.org/structure/1LNW;https://www.rcsb.org/structure/3ECH;https://www.rcsb.org/structure/3MEX;https://www.rcsb.org/structure/4ZZL
ARO:3000813	MexS	MexS	ADT64081.1	HQ433550.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic	antibiotic efflux	diaminopyrimidine antibiotic	Trimethoprim-derivatives	E7DZ84			
ARO:3000814	MexT	MexT	AAG05880.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic	antibiotic efflux	diaminopyrimidine antibiotic	Trimethoprim-derivatives	Q9I0Z0		6L33	https://www.rcsb.org/structure/6L33
ARO:3003030	MexV	MexV	AAG07762.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics;fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux	tetracycline antibiotic	Tetracyclines	Q9HW28			
ARO:3003031	MexW	MexW	AAG07763.1	NC_002516.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics;fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux	tetracycline antibiotic	Tetracyclines	Q9HW27			
ARO:3003034	mexX	mexX	BAA34299.1	AB015853.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;carbapenem;cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;macrolide antibiotic;penicillin beta-lactam;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux	aminoglycoside antibiotic;carbapenem;cephalosporin;tetracycline antibiotic	Aminoglycosides;Carbapenems;Fifth-generation-cephalosporins;Other-cephalosporins;Tetracyclines;Third-generation-cephalosporins	Q9ZNG9			
ARO:3003033	mexY	mexY	BAA34300.1	AB015853.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;carbapenem;cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;macrolide antibiotic;penicillin beta-lactam;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux	aminoglycoside antibiotic;carbapenem;cephalosporin;tetracycline antibiotic	Aminoglycosides;Carbapenems;Fifth-generation-cephalosporins;Other-cephalosporins;Tetracyclines;Third-generation-cephalosporins	Q9ZNG8			
ARO:3003709	MexZ	MexZ	AAG05408.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;carbapenem;cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;macrolide antibiotic;penicillin beta-lactam;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux	aminoglycoside antibiotic;carbapenem;cephalosporin;tetracycline antibiotic	Aminoglycosides;Carbapenems;Fifth-generation-cephalosporins;Other-cephalosporins;Tetracyclines;Third-generation-cephalosporins	G3XCU9			
ARO:3000815	mgrA	mgrA	BAB41874.1	BA000018.3	ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump	cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;moenomycin antibiotic;penicillin beta-lactam;peptide antibiotic;tetracycline antibiotic	antibiotic efflux	cephalosporin;tetracycline antibiotic	Fifth-generation-cephalosporins;Other-cephalosporins;Tetracyclines;Third-generation-cephalosporins	Q7A6X2			
ARO:3003820	mgrB	mgrB	NP_416340.1	NC_000913.3	transmembrane protein conferring colistin resistance	peptide antibiotic	resistance by absence	polymyxin/colistin (peptide antibiotic)	Polymyxins	P64512			
ARO:3002166	MIR-1	MIR-1	AAD22636.1	M37839.2	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins	Q9X757			
ARO:3002175	MIR-10	MIR-10	AIT76111.1	KM087858.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins	A0A097J9I3			
ARO:3002176	MIR-11	MIR-11	AIT76112.1	KM087859.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins	A0A097J9K8			
ARO:3002177	MIR-12	MIR-12	AIT76116.1	KM087863.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins	A0A097J9I8			
ARO:3002178	MIR-13	MIR-13	AIT76115.1	KM087862.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins	A0A097J9I4			
ARO:3002179	MIR-14	MIR-14	AIT76117.1	KM087864.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins	A0A097J9L3			
ARO:3002180	MIR-15	MIR-15	AIT76104.1	KM087851.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins	A0A097J9H0			
ARO:3002181	MIR-16	MIR-16	AIT76114.1	KM087861.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins	A0A097J9I1			
ARO:3003173	MIR-17	MIR-17	CEA29752.1	LN515535.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins	A0A0A1IQU5			
ARO:3003139	MIR-18	MIR-18	WP_063860839.1	NG_049302.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins	A0A0A8P3D2			
ARO:3006859	MIR-19	MIR-19	WP_045354584.1	NG_050721.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins	A0A172T0N3			
ARO:3002168	MIR-2	MIR-2	AAO42602.1	AY227752.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins	Q84B25			
ARO:3006860	MIR-20	MIR-20	WP_044597278.1	NG_050722.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins	A0A0B3QYG7;A0A0F1EI38;A0A0K2BNX9;A0A0W2HDZ8;A0A330E399;A0A4P8D745;A0A8B2SAZ1;A0A9Q1PUE5;A0AAE3TYT5	UPI00057392E2		
ARO:3006861	MIR-21	MIR-21	WP_045372339.1	NG_050723.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins	A0A172T0Q7			
ARO:3006862	MIR-22	MIR-22	WP_099156057.1	NG_055671.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins	A0A291NY82			
ARO:3004745	MIR-23	MIR-23	AIG20028.1	KJ949106.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins	A0A0A0Q7Z4			
ARO:3008373	MIR-24	MIR-24	UVW30759.1	OP297847.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins	A0A0A0QAW6;A0A205LBM8;A0AAX1WL46	UPI0005361F34		
ARO:3008374	MIR-25	MIR-25	UXG78561.1	OP346114.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins	A0A0E2JXX7;A0A0W2WHU4;A0A9P0U744;A0AAJ0Z9N8;A0ABD4R5K7;S9ZIJ2	UPI00038681F3		
ARO:3008375	MIR-27	MIR-27	HDT5730486.1	DAPAES010000003.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3008376	MIR-28	MIR-28	MCK7256087.1	JAKMJR010000004.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins				
ARO:3002169	MIR-3	MIR-3	AAU95779.1	AY743435.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins	Q5XPQ6			
ARO:3008377	MIR-30	MIR-30	QLC81076.1	CP058253.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins		UPI0015A57BED		
ARO:3008378	MIR-31	MIR-31	XAJ73569.1	PP740503.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins		UPI003366A7BA		
ARO:3008379	MIR-32	MIR-32	XAJ73570.1	PP740504.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins		UPI0033665FE5		
ARO:3008380	MIR-33	MIR-33	XAJ73571.1	PP740505.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins		UPI00336764C9		
ARO:3008381	MIR-34	MIR-34	XAJ73572.1	PP740506.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins		UPI003367B9C5		
ARO:3008382	MIR-35	MIR-35	XAJ73573.1	PP740507.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins		UPI00336914F3		
ARO:3002167	MIR-4	MIR-4	ABN69112.2	EF417572.2	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins	A3RIY0			
ARO:3002170	MIR-5	MIR-5	AJO16037.1	KP050484.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins	A0A0C5C1Y4			
ARO:3002171	MIR-6	MIR-6	AFJ79785.1	JQ664733.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins	I2DC43			
ARO:3002172	MIR-7	MIR-7	WP_045409557.1	NG_049308.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins	W8QQ89			
ARO:3002174	MIR-9	MIR-9	AIT76113.1	KM087860.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	cephalosporin;monobactam	Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins	A0A097J9H9			
ARO:3005042	mlaD	mlaD	VWQ04090.1	LR730402.1	ATP-binding cassette (ABC) antibiotic efflux pump	glycopeptide antibiotic;oxazolidinone antibiotic	antibiotic efflux	glycopeptide antibiotic;oxazolidinone antibiotic	Glycopeptides;Oxazolidinones	A0A061JX64;A0A073D5H4;A0A073EGI8;A0A074FJY9;A0A079XD82;A0A080DZ51;A0A080G201;A0A0A6HMX2;A0A0J2A650;A0A0W3D1B0;A0A0X5DHJ4;A0A136SAZ8;A0A234PUJ7;A0A3B7LQC1;C2DWA2;D7Z4C7;D8CCG3;E1PFS6;E6A3V7;L2YQU6;L3A4J4;L3ATN3;L3C8A7;L3FBI5;L3GCE3;L3HAE7;L3KXU2;L3MZQ0;L3NRD7;L3SVM3;L4D7Y1;L4IA69;L4QL54;L4RUT9;L4RZV2;L4WK10;L4Z6I1;L5BH88;L5C7I9;L5DH29;L5EC77;L5IZ86;L5JBL2;L8CQE8;R9E8U8;S1PZX8;T5M1P3;T5PKL1;T5QL13;T5QWQ4;T5RUB5;T5UHS8;T5WJP5;T5Y0D7;T5Y1G6;T5YVV0;T6C3S2;T6E3L3;T6EX99;T6FPL5;T6HG47;T6J227;T6M0X2;T6N310;T6NA07;T6P9W2;T6QQX2;T6SFX9;T6TCL4;T6UW35;T6VH06;T6WCF7;T7A5Q7;T7DUR3;T7EDJ1;T7G6P9;T7I3L9;T7K7M3;T7L7S2;T7X216;T7Y3X2;T7ZKS3;T8B9T9;T8CGP4;T8CIE5;T8DWZ1;T8GHL2;T8GUQ8;T8GZC1;T8M3D7;T8PRX7;T8S3H8;T8UAW3;T8UMZ4;T8VQ44;T8WBR3;T8X9Y3;T8XE17;T9C1F5;T9CPH0;T9DUS0;T9ERY2;T9FNV0;T9GNA9;T9GXC6;T9I7X8;T9IWV1;T9M9S1;T9Q423;T9R227;T9RMK3;T9RU26;T9T4M8;T9W602;T9YBH1;T9YG89;T9ZFD0;T9ZG90;U1EN63;V0RG87;V0UJ51;V1CBI4;V2SPK5;V4CMM8;V8SLG5;V8SXV2	UPI00019F4AAA		
ARO:3005041	mlaF	mlaF	VWQ04088.1	LR730402.1	ATP-binding cassette (ABC) antibiotic efflux pump	glycopeptide antibiotic;oxazolidinone antibiotic	antibiotic efflux	glycopeptide antibiotic;oxazolidinone antibiotic	Glycopeptides;Oxazolidinones				
ARO:3006952	MOC-1	MOC-1	WP_060874262.1	NG_051495.1	MOC beta-lactamase	carbapenem	antibiotic inactivation	carbapenem	Carbapenems	A0A191Z3S9			
ARO:3006953	MOR-2	MOR-2	WP_063860842.1	NG_049310.1	MOR beta-lactamase	cephalosporin	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	Q84BY3			
ARO:3004138	Moraxella catarrhalis 23S rRNA with mutation conferring resistance to macrolide antibiotics	Mcat_23S_MAC		CP002005.1	23S rRNA with mutation conferring resistance to macrolide antibiotics	glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration	glycopeptide antibiotic;pleuromutilin antibiotic;streptogramin antibiotic	Glycopeptides;Pleuromutilin;Streptogramins				
ARO:3004124	Moraxella catarrhalis M35	Mcat_M35_AMX	AAX99225.1	AY905613.1	General Bacterial Porin with reduced permeability to beta-lactams	carbapenem;cephalosporin;monobactam;penicillin beta-lactam	reduced permeability to antibiotic;resistance by absence	carbapenem;cephalosporin;monobactam	Carbapenems;Fifth-generation-cephalosporins;Monobactam/beta-lactamase-inhibitor;Monobactams;Other-cephalosporins;Third-generation-cephalosporins	Q3MK85			
ARO:3002182	MOX-1	MOX-1	BAA02563.2	D13304.2	MOX beta-lactamase	cephalosporin;penicillin beta-lactam	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	Q51578		3W8K;4WBG;5ZYB	https://www.rcsb.org/structure/3W8K;https://www.rcsb.org/structure/4WBG;https://www.rcsb.org/structure/5ZYB
ARO:3003140	MOX-10	MOX-10	WP_063860843.1	NG_049312.1	MOX beta-lactamase	cephalosporin;penicillin beta-lactam	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0A0A8P164			
ARO:3003141	MOX-11	MOX-11	WP_063860844.1	NG_049313.1	MOX beta-lactamase	cephalosporin;penicillin beta-lactam	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0A0A8P352			
ARO:3006477	MOX-12	MOX-12	WP_043155783.1	NG_049314.1	MOX beta-lactamase	cephalosporin;penicillin beta-lactam	antibiotic inactivation	cephalosporin	Fifth-generation-cephalosporins;Other-cephalosporins;Third-generation-cephalosporins	A0AAE9PNA3			
